kode,nama_produk,unit,trx_count,qty_sum,qty_mean,qty_median,qty_std,qty_max,qty_p75,qty_p95,outlier_jumlah_beli,permintaan_kategori
A000053,ALPARA SYR,BTL,13,24.0,1.8461538461538463,1.0,3.05085107923876,12.0,1.0,5.399999999999984,0,1
A00006,ADEM SARI,SACH,43,288.0,6.6976744186046515,4.0,14.681596649451556,72.0,5.0,7.899999999999999,0,1
A000066,ANDALAN KB FE,STRIP,85,269.0,3.164705882352941,2.0,5.43543720330172,30.0,2.0,7.199999999999989,0,1
A000069,ALKOHOL SWEP,PSG,60,2681.0,44.68333333333333,50.0,25.89973605432333,100.0,50.0,100.0,1,1
A00007,AFITSON NO.1 18 G,POT,52,113.0,2.173076923076923,1.0,2.7704402838747195,12.0,2.0,8.699999999999974,0,1
A000073,ASEPSO MOISTURE CARE,PCS,6,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A000076,ALOFAR 300MG,STRIP,135,348.0,2.577777777777778,1.0,3.8545702020829857,20.0,2.0,10.0,0,1
A000078,ARKAVIT BOX,STRIP,55,157.0,2.8545454545454545,2.0,3.069673536859518,10.0,3.0,10.0,0,1
A00008,AKURAT,PCS,321,704.0,2.1931464174454827,1.0,4.916180212484074,25.0,1.0,5.0,0,1
A00009,ALBOTHYL 10ML,BTL,9,15.0,1.6666666666666667,1.0,0.8660254037844386,3.0,2.0,3.0,0,0
A00010,ALBOTHYL 5ML,BTL,54,72.0,1.3333333333333333,1.0,0.5139561687500466,3.0,2.0,2.0,0,0
A00013,ALLERON,STRIP,65,249.0,3.830769230769231,2.0,5.75697737198423,20.0,3.0,20.0,0,1
A00014,ALLETROL TM 5 ML,FLS,35,51.0,1.457142857142857,1.0,0.780002154705061,3.0,2.0,3.0,0,0
A00015,ALLOPURINOL 100MG,STRIP,887,2062.0,2.3246899661781284,1.0,4.560910725673422,30.0,1.0,10.0,0,1
A00016,ALPARA,STRIP,400,1133.0,2.8325,1.0,14.656790149747465,200.0,1.0,3.0,1,1
A00018,AMBROXOL 30MG,STRIP,214,559.0,2.6121495327102804,1.0,4.5927113163959,30.0,2.0,10.0,0,1
A00019,AMLODIPINE 10MG,STRIP,963,2693.0,2.7964693665628246,1.0,5.067128174564974,36.0,2.0,18.0,0,1
A00020,AMLODIPINE 5MG,STRIP,1158,4098.0,3.538860103626943,2.0,6.050475619735212,60.0,3.0,18.0,0,1
A000209,THERMOMETER AVICO,PCS,67,109.0,1.626865671641791,1.0,1.3123633654192797,6.0,1.5,5.099999999999987,0,0
A00021,AMOXICILIN 500MG,STRIP,1490,5423.0,3.6395973154362418,1.0,48.25364943212127,1440.0,1.0,3.0,1,1
A00023,AMOXSAN 500MG,TAB,24,620.0,25.833333333333332,10.0,31.335029247968073,100.0,20.0,100.0,1,1
A000236,ASHITAKI MIE GRG,PCS,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0,1
A00024,AMOXSAN D.S 60ML,BTL,23,24.0,1.0434782608695652,1.0,0.20851441405707477,2.0,1.0,1.0,0,0
A00026,AMPICILIN 500MG,STRIP,40,85.0,2.125,1.0,2.6907962790565576,10.0,2.0,10.0,0,1
A00027,ANAKONIDIN OBH 60ML,BTL,72,124.0,1.7222222222222223,1.0,1.9516856002738039,12.0,1.0,6.0,0,0
A00028,ANAKONIDIN SYR 60ML,BTL,112,186.0,1.6607142857142858,1.0,1.737522163594833,12.0,1.0,6.0,0,0
A00029,ANDALAN LAKTASI,STRIP,88,189.0,2.147727272727273,1.0,5.307855321000462,30.0,1.0,2.0,0,1
A00032,ANTANGIN ANAK,SACH,37,203.0,5.486486486486487,4.0,5.871880361432697,30.0,5.0,15.0,0,1
A00033,ANTANGIN CAIR,SACH,340,3155.0,9.279411764705882,3.0,21.089250983085893,144.0,12.0,24.0,1,1
A00034,ANTANGIN TAB,STRIP,53,183.0,3.452830188679245,2.0,8.00376362848189,60.0,3.0,5.0,0,1
A00035,ANTASIDA DOEN,TAB,223,5880.0,26.367713004484305,10.0,47.758676752046334,300.0,20.0,200.0,1,1
A00036,ANTIMO ANAK JERUK,SACH,20,91.0,4.55,3.0,5.384920465619955,20.0,4.0,20.0,0,1
A00037,ANTIMO ANAK STRAW,SACH,22,107.0,4.863636363636363,3.5,5.330017908890261,20.0,4.75,19.499999999999993,0,1
A00038,ANTIMO TAB,STRIP,170,413.0,2.429411764705882,1.0,9.3636755481101,72.0,1.0,2.0,0,1
A00039,ASAM MEFENAMAT 500MG,STRIP,875,1959.0,2.238857142857143,1.0,4.15862243643413,30.0,1.0,10.0,0,1
A00045,ANLENE GOLD VANILLA 250GR,BOX,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00046,ANLENE GOLD COKLAT 250GR,BOX,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00047,APIALYS DROPS,BTL,24,25.0,1.0416666666666667,1.0,0.2041241452319315,2.0,1.0,1.0,0,0
A00048,AVAIL HIJAU,PCS,40,49.0,1.225,1.0,1.423024947075771,10.0,1.0,1.0,0,0
A00049,AVAIL BIRU,PCS,24,36.0,1.5,1.0,1.8415494421345537,10.0,1.0,2.0,0,0
A00050,AMBEVEN,STRIP,229,474.0,2.069868995633188,1.0,2.7473129584258342,10.0,1.0,10.0,0,1
A00052,AVAIL MERAH,PCS,3,11.0,3.6666666666666665,2.0,3.7859388972001824,8.0,5.0,7.3999999999999995,0,1
A00053,AUGENTONIC 5 ML,FLS,6,9.0,1.5,1.5,0.5477225575051662,2.0,2.0,2.0,0,0
A00055,ALOFAR 100MG,STRIP,364,843.0,2.315934065934066,1.0,3.8514666028522044,20.0,2.0,10.0,0,1
A00060,ARMSLING M,PCS,21,24.0,1.1428571428571428,1.0,0.35856858280031806,2.0,1.0,2.0,0,0
A00066,ANLENE ACTIFIT VANILLA,DUS,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00067,ANLENE ACTIFIT COKLAT,DUS,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00072,ASEPSO,PCS,597,1610.0,2.696817420435511,1.0,7.958588703375409,100.0,2.0,5.0,1,1
A00077,ACLONAC GEL 20G,BOX,6,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00082,APPETON WG ADULT COKLAT,KLG,4,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00083,ANTASIDA DOEN SUSP 60ML,BTL,144,304.0,2.111111111111111,1.0,1.6476773697665188,6.0,3.0,6.0,0,1
A000897,ALERZIN TAB,STRIP,72,197.0,2.736111111111111,1.0,4.209289042225726,20.0,2.0,10.0,0,1
A00091,ARMACORT,TUBE,109,199.0,1.8256880733944953,1.0,1.6768800212014534,6.0,1.0,6.0,0,1
A00092,ALLERIN EXP 60 ML,BTL,234,408.0,1.7435897435897436,1.0,1.7315742231261075,12.0,1.0,6.0,0,0
A00103,AQUA MARIS DAILY NASSAL 30ML,BTL,5,6.0,1.2,1.0,0.4472135954999579,2.0,1.0,1.7999999999999998,0,0
A00107,ALLERGEN TAB,STRIP,54,183.0,3.388888888888889,2.0,4.988351210444402,20.0,3.0,20.0,0,1
A0011,ANTIS BTL 60ML,BTL,23,49.0,2.130434782608696,1.0,3.9347443930622963,20.0,2.0,2.8999999999999986,0,1
A00110,ANTIS SPRAY 55ML,BTL,102,254.0,2.4901960784313726,1.0,4.539693141893923,24.0,2.0,11.64999999999992,0,1
A00111,ADEM SARI CHING KU,KLG,111,229.0,2.063063063063063,1.0,2.0682855406846214,12.0,2.0,6.0,0,1
A00112,ANACETIN SYR,BTL,89,147.0,1.651685393258427,1.0,1.446792090952708,6.0,1.0,6.0,0,0
A00116,ASIFIT 700MG KAPLET,STRIP,19,33.0,1.736842105263158,1.0,0.9911892555667041,3.0,3.0,3.0,0,0
A00117,AZITHROMYCIN 500MG TAB,STRIP,12,18.0,1.5,1.0,0.904534033733291,3.0,1.5,3.0,0,0
A00118,ANASTAN FORTE,STRIP,175,357.0,2.04,1.0,2.8654902691788395,20.0,1.0,10.0,0,1
A00121,ACNES GEL,TUBE,66,305.0,4.621212121212121,3.0,5.801233692440977,30.0,5.0,15.0,0,1
A00123,VITAMIN C 50MG,STRP,127,563.0,4.433070866141732,2.0,5.9928403727308925,30.0,5.0,20.0,0,1
A00124,ASTHIN FORCE,STRIP,2,3.0,1.5,1.5,0.7071067811865476,2.0,1.75,1.95,0,0
A00126,ACNOL 10GR,TUBE,21,25.0,1.1904761904761905,1.0,0.40237390808147827,2.0,1.0,2.0,0,0
A00131,AMBROXOL SYR,BTL,40,62.0,1.55,1.0,1.0848608560193684,6.0,1.25,3.0,0,0
A00132,AMOXSAN DROP,BTL,4,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00133,ACNOL LOTION 10ML,PCS,39,59.0,1.5128205128205128,1.0,0.7208107595944293,3.0,2.0,3.0,0,0
A00135,ASMASOLON,STRIP,30,138.0,4.6,2.0,7.0152543149516875,25.0,3.0,25.0,0,1
A00138,ACNES FC CREAMYWASH,TUBE,6,10.0,1.6666666666666667,1.0,1.0327955589886446,3.0,2.5,3.0,0,0
A00141,ASICUM,BTL,37,120.0,3.2432432432432434,4.0,1.9207262140110413,6.0,5.0,6.0,0,1
A00142,ALBENDAZOLE KF,STRIP,34,71.0,2.088235294117647,1.0,2.574556708637296,10.0,2.0,10.0,0,1
A00146,ACTIVCLEAR,TUBE,4,5.0,1.25,1.0,0.5,2.0,1.25,1.8499999999999996,0,0
A00147,ACARBOSE,STRIP,1,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0,1
A00148,AKURAT COMPACT,PCS,14,14.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00149,ANAKONIDIN HERBAL 60ML,BTL,43,76.0,1.7674418604651163,1.0,1.7571244000507193,6.0,1.0,6.0,0,1
A00151,AGARILLUS DROP,BTL,50,91.0,1.82,1.5,0.8964783708421277,3.0,3.0,3.0,0,1
A00154,ANAKONIDIN ME 60ML,BTL,35,55.0,1.5714285714285714,1.0,1.6140142554533783,6.0,1.0,6.0,0,0
A00155,ANDALAN FRESH INTIMATE WASH,BTL,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0,1
A00156,ANAKONIDIN ME 30ML,BTL,16,26.0,1.625,1.0,1.707825127659933,6.0,1.0,6.0,0,0
A00158,ACIFAR,TUBE,128,229.0,1.7890625,1.0,1.67732606735258,6.0,1.0,6.0,0,1
A00160,ATORVASTATIN 20MG,STRIP,12,22.0,1.8333333333333333,2.0,0.8348471099367218,3.0,2.25,3.0,0,1
A00161,ACETYLCYSTEINE 200MG,STRIP,64,141.0,2.203125,1.0,4.254520238560096,30.0,1.0,10.0,0,1
A00164,AMUNIZER,SCHET,12,148.0,12.333333333333334,6.0,13.479501834154322,48.0,15.0,34.79999999999998,0,1
A00165,AGARILLUS,BTL,40,63.0,1.575,2.0,0.5006406152531231,2.0,2.0,2.0,0,0
A00166,AZITHROMYCIN 200MG SYR 5ML,BTL,56,103.0,1.8392857142857142,1.0,2.5851097090437394,10.0,1.0,10.0,0,1
A00168,ARKAVIT C,STRIP,47,110.0,2.3404255319148937,1.0,3.613240119728027,20.0,1.0,10.0,0,1
A00170,ACITRAL SUSPENSI 120ML,BTL,15,21.0,1.4,1.0,0.6324555320336759,3.0,2.0,2.299999999999999,0,0
A00171,ACTICOR 60X85ML,BTL,11,21.0,1.9090909090909092,1.0,1.8140862964338522,6.0,1.5,5.5,0,1
A00174,ANTIS GEL 30ML,BTL,6,39.0,6.5,3.5,6.862943974709395,15.0,12.75,15.0,0,1
A00175,ANAKONIDIN 30ML,BTL,19,35.0,1.8421052631578947,1.0,2.713406180323028,12.0,1.0,6.599999999999987,0,1
A00176,ANAKONIDIN OBH 30ML,BTL,26,54.0,2.076923076923077,1.0,3.08445232640191,12.0,1.0,10.5,0,1
A00177,ACTIV WATER,BTL,21,66.0,3.142857142857143,1.0,5.16996822316844,24.0,2.0,6.0,0,1
A00179,ANDALAN OVULATION,PCS,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00180,ANATON SYR,BTL,4,6.0,1.5,1.0,1.0,3.0,1.5,2.6999999999999993,0,0
B0000001,BACTODERM 5GR,TUBE,5,8.0,1.6,1.0,0.8944271909999159,3.0,2.0,2.8,0,0
B0000002,BALSEM GELIGA 10 GR,POT,25,42.0,1.68,1.0,1.46401275039985,6.0,1.0,5.3999999999999915,0,0
B0000003,BALSEM GELIGA 20 GR,POT,114,193.0,1.6929824561403508,1.0,1.3833855673701654,6.0,1.75,6.0,0,0
B0000004,BALSEM GELIGA 40 GR,POT,102,158.0,1.5490196078431373,1.0,1.0012610957137724,6.0,1.75,3.0,0,0
B0000006,BALSEM LANG 10 GR,POT,24,40.0,1.6666666666666667,1.0,1.2740441145412122,6.0,2.0,3.849999999999998,0,0
B00000068,---,PCS,5,57.0,11.4,12.0,6.5038450166036395,20.0,15.0,19.0,0,1
B0000007,BALSEM LANG 20 GR,POT,88,144.0,1.6363636363636365,1.0,1.2611053187063257,6.0,2.0,4.0,0,0
B0000009,BALSEM TJIN TJAU 20 G,POT,2,3.0,1.5,1.5,0.7071067811865476,2.0,1.75,1.95,0,0
B0000010,BALSEM TJIN TJAU 36 G,POT,2,4.0,2.0,2.0,0.0,2.0,2.0,2.0,0,1
B00000100,BIOLYSIN SYR 100ML,BTL,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0,1
B00000120,BROADAMOX,STRIP,75,171.0,2.28,1.0,3.343246520569086,20.0,1.5,10.0,0,1
B00000125,BENEURON DRAGEE,STRIP,50,126.0,2.52,1.0,3.0920569733642704,10.0,2.0,10.0,0,1
B0000013,BECOM-C,STRIP,176,398.0,2.2613636363636362,1.0,3.4359255544299,20.0,1.0,10.0,0,1
B0000018,BENZOLAC CL,TUBE,12,14.0,1.1666666666666667,1.0,0.38924947208076144,2.0,1.0,2.0,0,0
B0000019,BETADINE FEMINIME,BTL,34,48.0,1.411764705882353,1.0,0.6567895774291852,3.0,2.0,3.0,0,0
B00000198,BIFERCE,BTL,38,56.0,1.4736842105263157,1.0,1.0063807807982874,6.0,1.75,3.0,0,0
B0000020,BETADINE GARGLE 190ML,BTL,67,92.0,1.373134328358209,1.0,0.6475085326575355,3.0,2.0,3.0,0,0
B0000021,BETADINE GARGLE 100ML,BTL,37,51.0,1.3783783783783783,1.0,0.639068391025881,3.0,2.0,3.0,0,0
B0000022,BETADINE OINT 10G,TUBE,11,17.0,1.5454545454545454,1.0,0.8201995322647245,3.0,2.0,3.0,0,0
B0000023,BETADINE OINT 5G,TUBE,35,49.0,1.4,1.0,0.7745966692414833,3.0,1.0,3.0,0,0
B0000025,BETADINE SOL 15 ML,BTL,108,167.0,1.5462962962962963,1.0,0.9800272670177622,6.0,2.0,3.0,0,0
B0000026,BETADINE SOL 30 ML,BTL,44,63.0,1.4318181818181819,1.0,0.759367156124933,3.0,2.0,3.0,0,0
B0000027,BETADINE SOL 5 ML,BTL,235,430.0,1.8297872340425532,1.0,1.9580989923747205,12.0,1.0,6.0,0,1
B0000028,BETAHISTINE,STRIP,115,227.0,1.9739130434782608,1.0,2.617286895647212,10.0,1.0,10.0,0,1
B0000029,BETASON CR 5G,TUBE,38,75.0,1.9736842105263157,1.0,4.0834990434824805,24.0,1.0,3.499999999999986,0,1
B0000030,BETASON N CR 5G,TUBE,330,645.0,1.9545454545454546,1.0,2.6999483175387797,24.0,1.0,6.0,0,1
B0000031,BIOGESIC,STRIP,41,174.0,4.2439024390243905,2.0,6.988492283049606,25.0,3.0,25.0,0,1
B0000032,BIOLYSIN KIDS ANGGUR,BTL,13,19.0,1.4615384615384615,1.0,0.7762500258061847,3.0,2.0,3.0,0,0
B0000033,BIOLYSIN KIDS JERUK,BTL,11,17.0,1.5454545454545454,1.0,0.8201995322647244,3.0,2.0,3.0,0,0
B0000034,BIOLYSIN KIDS STRAW,BTL,8,12.0,1.5,1.0,0.7559289460184545,3.0,2.0,2.6499999999999995,0,0
B0000035,BIOPLACENTON 15GR,TUBE,107,186.0,1.7383177570093458,1.0,1.7447303332646535,6.0,1.0,6.0,0,0
B0000036,BISOLVON EXTRA,BTL,48,66.0,1.375,1.0,0.6399800528806397,3.0,2.0,3.0,0,0
B0000037,BISOLVON KIDS,BTL,21,30.0,1.4285714285714286,1.0,1.164964745021435,6.0,1.0,3.0,0,0
B0000038,BISOPROLOL 5MG,STRIP,44,92.0,2.090909090909091,1.0,3.4019022162927848,20.0,1.0,9.250000000000007,0,1
B0000039,BODREX,STRIP,852,2385.0,2.7992957746478875,1.0,7.062144790727497,72.0,2.0,4.0,0,1
B0000040,BODREX EXTRA,STRIP,136,584.0,4.294117647058823,2.0,7.736510503530765,50.0,2.25,25.0,0,1
B0000041,BODREX FB DAHAK,STRIP,112,392.0,3.5,2.0,6.956751856750132,50.0,2.0,25.0,0,1
B0000042,BODREX FB KERING,STRIP,116,412.0,3.5517241379310347,2.0,7.747476253971166,50.0,2.0,21.25,0,1
B0000043,BODREX MIGRA,STRIP,106,303.0,2.858490566037736,1.0,5.524729994256185,25.0,2.0,20.0,0,1
B0000044,BODREXIN DEMAM  SYR,BTL,7,12.0,1.7142857142857142,1.0,0.9511897312113419,3.0,2.5,3.0,0,0
B0000045,BORRAGINOL N SUPPO,SUPP,54,187.0,3.462962962962963,2.0,3.243064954713237,10.0,3.0,10.0,0,1
B0000046,BORRAGINOL S SUPPO,SUPP,41,142.0,3.4634146341463414,2.0,2.8991167704631158,10.0,3.0,10.0,0,1
B0000047,BRAITO ORIGINAL,FLS,135,247.0,1.8296296296296297,1.0,2.604647799666889,12.0,1.0,7.799999999999983,0,1
B0000048,BUBUK PK,POT,115,326.0,2.8347826086956522,1.0,5.465891742437438,24.0,2.0,24.0,0,1
B0000050,BYE BYE FEVER ANAK,SACH,130,378.0,2.9076923076923076,2.0,4.201229339920286,30.0,2.0,12.749999999999986,0,1
B0000053,BABY COUGH,BTL,215,417.0,1.9395348837209303,1.0,1.8748382528220209,12.0,2.0,6.0,0,1
B0000054,BRONCHITIN SYR,BTL,146,531.0,3.636986301369863,2.0,5.288739028365446,30.0,3.0,20.0,0,1
B0000058,BATUGIN 120 ML,BTL,37,55.0,1.4864864864864864,1.0,0.837377573858532,3.0,2.0,3.0,0,0
B0000061,BATUGIN 300ML,BTL,48,72.0,1.5,1.0,1.1669199319831565,6.0,1.0,3.0,0,0
B0000064,BAYI IBU,PCS,12,24.0,2.0,1.0,3.1622776601683795,12.0,1.0,6.499999999999993,0,1
B0000065,BUFACORT N 5G,TUBE,46,91.0,1.9782608695652173,1.0,1.653133461504513,6.0,2.0,6.0,0,1
B0000066,BINARI,SCH,42,215.0,5.119047619047619,2.0,5.996756769602606,24.0,9.0,12.0,0,1
B0000067,BETADINE PLESTER JUNIOR,PCS,2,5.0,2.5,2.5,2.1213203435596424,4.0,3.25,3.8499999999999996,0,1
B0000069,BRAITO TEARS,FLS,221,579.0,2.6199095022624435,1.0,4.47725179414075,25.0,2.0,10.0,0,1
B0000074,BUFANTACID,STRIP,76,214.0,2.8157894736842106,2.0,2.956171065486748,10.0,2.25,10.0,0,1
B0000076,BUFANTACID FORTE SYR,BTL,28,47.0,1.6785714285714286,1.0,1.4156158567804524,6.0,1.25,4.949999999999996,0,0
B0000078,BALPIRIK EXTRA MERAH,POT,10,15.0,1.5,1.0,0.8498365855987975,3.0,1.75,3.0,0,0
B0000081,BIOLYSIN SMART 60ML,BTL,22,33.0,1.5,1.0,0.6725927091345493,3.0,2.0,2.9499999999999993,0,0
B0000082,BETADINE SABUN CAIR 100ML,BTL,30,50.0,1.6666666666666667,1.0,1.18418699983352,6.0,2.75,3.0,0,0
B0000089,BBK 80GR,BTL,21,32.0,1.5238095238095237,1.0,1.2497618820818475,6.0,1.0,3.0,0,0
B0000090,BETADINE SOL 60ML,BTL,23,32.0,1.391304347826087,1.0,0.583027399541909,3.0,2.0,2.0,0,0
B0000091,BENECOL ORANGE,BTL,58,209.0,3.603448275862069,2.0,2.858902102926887,12.0,6.0,6.8999999999999915,0,1
B0000097,BALSEM LANG 40GR,POT,57,87.0,1.5263157894736843,1.0,0.8885233166386387,4.0,2.0,3.0,0,0
B0000101,BORRAGINOL S OINT,TUBE,20,20.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000103,BEVALEX CR,TUBE,192,371.0,1.9322916666666667,1.0,2.4108391705188885,12.0,1.0,6.0,0,1
B0000108,BEAR BRAND,KLG,203,689.0,3.394088669950739,1.0,14.884118871675215,210.0,2.0,11.799999999999955,1,1
B0000109,BUFACARYL,STRIP,169,815.0,4.822485207100592,2.0,5.907357476775113,30.0,4.0,20.0,0,1
B0000118,BRONKRIS TAB,STRIP,102,268.0,2.627450980392157,1.0,4.102454152313065,20.0,2.0,10.0,0,1
B0000119,BORRAGINOL N OINT,TUBE,23,23.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000125,BREAST PADS YOUNG YOUNG,PCS,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000193,BIOMEGA,STRIP,30,71.0,2.3666666666666667,1.0,3.8370546654624467,20.0,1.75,8.199999999999989,0,1
B00002,BRONCHITIN FLU SYR 60ML,BTL,25,46.0,1.84,1.0,1.491084616423003,6.0,3.0,5.3999999999999915,0,1
B0000201,BETOMINPLEX BOTOL,BTL,6,8.0,1.3333333333333333,1.0,0.5163977794943222,2.0,1.75,2.0,0,0
B0000202,BRONKRIS SYR,BTL,117,395.0,3.376068376068376,1.0,7.011968211720654,36.0,3.0,6.0,0,1
B0000214,BEDAK PIGEON 200GR,PCS,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000216,BATSARIA 10ML,BTL,28,41.0,1.4642857142857142,1.0,1.0357370915204895,6.0,2.0,2.6499999999999986,0,0
B0000217,BALSEM DRAGON 40GR,BTL,4,5.0,1.25,1.0,0.5,2.0,1.25,1.8499999999999996,0,0
B0000220,BISACODYL TAB 5MG,STRIP,25,38.0,1.52,1.0,0.8717797887081348,3.0,2.0,3.0,0,0
B0000221,BIO OIL 60ML,BTL,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000222,BIOCALCI-72,STRIP,7,8.0,1.1428571428571428,1.0,0.3779644730092272,2.0,1.0,1.6999999999999993,0,0
B0000223,B7 PANAS DALAM,SCHT,2,12.0,6.0,6.0,0.0,6.0,6.0,6.0,0,1
B0000226,JOHNSONS BABY OIL 200ML,BTL,3,9.0,3.0,3.0,2.0,5.0,4.0,4.8,0,1
B0000229,BIOCERAGEL BODY CREAM,TUBE,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0,1
B0000230,BIOPLACENTON TULLE,PCS,5,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000234,BEJO JAHE MERAH,SACH,102,1127.0,11.049019607843137,3.5,21.051740809456174,144.0,12.0,72.0,1,1
B0000235,BETADINE HAND WASH POC 200ML,PCS,1,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0,1
B0000236,BECOM-ZET,STRIP,142,343.0,2.415492957746479,1.0,3.968390991350744,25.0,2.0,10.0,0,1
B0000239,BIO OIL 25ML,BTL,6,12.0,2.0,1.0,1.6733200530681511,5.0,2.5,4.5,0,1
B0000241,BIMACYL,STRIP,171,376.0,2.198830409356725,1.0,4.105405164558972,30.0,1.0,10.0,0,1
B0000242,BREAST PUMP RELIABLE,PCS,4,6.0,1.5,1.0,1.0,3.0,1.5,2.6999999999999993,0,0
B0000243,BEXICOM KAPLET,STRIP,21,40.0,1.9047619047619047,1.0,2.700088181981505,10.0,1.0,10.0,0,1
B0000244,BLACKSOAP,PCS,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000266,BINTAMOX TAB,STRIP,19,50.0,2.6315789473684212,1.0,4.692908672973031,20.0,1.0,10.999999999999979,0,1
B0000267,BLACKMORES CELERY,BOTOL,2,4.0,2.0,2.0,0.0,2.0,2.0,2.0,0,1
B0000268,BINTAMOX SYR,BOTOL,22,33.0,1.5,1.0,0.8017837257372732,3.0,2.0,3.0,0,0
B0000269,BLACKMORES FISHOIL,BOTOL,2,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000270,BRALIFEX EYE DROP,BTL,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000271,BETADINE PLASTER WATERPROOF,PCS,3,5.0,1.6666666666666667,1.0,1.1547005383792517,3.0,2.0,2.8,0,0
B0000272,BOOST D 1000 IU,STRIP,77,441.0,5.7272727272727275,4.0,10.591253049017634,48.0,4.0,33.60000000000005,0,1
B0000274,BELSOAP 65GR,PCS,8,10.0,1.25,1.0,0.7071067811865476,3.0,1.0,2.299999999999999,0,0
B0000275,BIOMAG TAB,STRIP,4,23.0,5.75,1.0,9.5,20.0,5.75,17.14999999999999,0,1
B0000276,BEBITHEN KRIM 20GR,TUBE,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B0000277,BREAST PUMP SET RELIABLE 9910,PCS,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B000030,BROCHIFAR KPT,STRIP,38,92.0,2.4210526315789473,1.0,4.457799596258034,20.0,1.0,11.499999999999986,0,1
B000036,BRESHIL,PCS,3,4.0,1.3333333333333333,1.0,0.5773502691896257,2.0,1.5,1.9,0,0
B000056,BROCHITIN TAB,STRIP,6,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
B000073,BETAMOL,STRIP,12,40.0,3.3333333333333335,1.5,5.432784876575872,20.0,2.0,12.29999999999999,0,1
B000089,BETADINE ELASTIC FABRIC,AMP,8,40.0,5.0,1.0,6.568322247184371,16.0,6.75,15.649999999999999,0,1
